PLAYER,TEAM,AGE,GP,W,L,MP,MIN,PTS,T.PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,T.REB,AST,T.AST,TOV,T.TOV,STL,T.STL,BLK,T.BLK,PF,T.PF,FP,DD2,TD3,+/-,Play2019,Play2020
Jaylen Adams,MIL,24,6,5,1,2.833333333,17,0.333333333,2,1,8,12.5,0,2,0,0,0,0,0,3,0.5,3,0.333333333,2,0,0,0,0,0,0,0.166666667,1,8.6,0,0,-13,0,0
Jared Harper,NYK,23,2,1,1,2.5,5,1,2,0,1,0,0,0,0,2,2,100,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,-3,0,0
Ignas Brazdeikis,NYK,22,4,2,2,1.75,7,0.5,2,0,1,0,0,0,0,2,2,100,1,1,0.5,2,0.25,1,0.25,1,0,0,0,0,0,0,4.9,0,0,-6,0,0
Devontae Cacok,LAL,24,1,0,1,2,2,2,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
Naji Marshall,NOP,23,3,0,3,2.666666667,8,0.333333333,1,0,2,0,0,1,0,1,2,50,0,2,0.666666667,2,0.333333333,1,0,0,0,0,0,0,0,0,4.9,0,0,15,0,0
Wenyen Gabriel,NOP,23,3,2,1,3.333333333,10,0,0,0,3,0,0,1,0,0,0,0,1,3,1.333333333,4,0.333333333,1,0,0,0,0,0,0,0,0,6.3,0,0,7,0,0
Ty-Shon Alexander,PHX,22,3,2,1,2.666666667,8,0,0,0,3,0,0,1,0,0,0,0,0,1,0.333333333,1,0.333333333,1,0,0,0,0,0,0,0.333333333,1,2.7,0,0,-9,0,0
Terrance Ferguson,PHI,22,7,4,3,3.428571429,24,0,0,0,3,0,0,3,0,0,0,0,0,1,0.142857143,1,0.285714286,2,0.142857143,1,0,0,0,0,0.428571429,3,3.2,0,0,-4,0,0
Noah Vonleh,BKN,25,3,2,1,2.666666667,8,0,0,0,2,0,0,1,0,0,0,0,0,1,0.333333333,1,0.333333333,1,0.666666667,2,0,0,0,0,0.666666667,2,0.7,0,0,-7,0,0
Kostas Antetokounmpo,LAL,23,1,1,0,8,8,0,0,0,2,0,0,0,0,0,0,0,0,4,4,4,0,0,2,2,0,0,2,2,1,1,8.8,0,0,0,0,0
Jalen Harris,TOR,22,2,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,1,0,0,0.5,1,0,0,0,0,1,2,0.2,0,0,1,0,0
Deividas Sirvydis,DET,20,4,2,2,1.25,5,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,1.5,0,0,3,0,0
Ashton Hagans,MIN,21,2,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,-1,0,0,-3,0,0
Anzejs Pasecniks,WAS,25,1,1,0,6,6,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,5,5,0,0,0,0,2,2,-2.3,0,0,-13,0,0
Al-Farouq Aminu,ORL,30,1,0,1,5,5,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1.7,0,0,-7,0,0
